W1,W2,W3,Cue_Word,Cue_Pos,Cue,block
鸟语花香,守口如瓶,海誓山盟,3,0,海,3
学富五车,走马观花,仁至义尽,2,3,花,3
背水宜战,繁花似锦,望梅止渴,1,2,宜,3
国泰民安,春暖花开,功亏宜篑,2,2,花,3
言而有信,一举两得,负荆请罪,2,3,得,3
叶公浩龙,如释重负,万子千红,2,3,负,3
乐善浩施,万无一失,纸上谈兵,2,0,万,3
大公无私,班门弄斧,山崩地裂,2,3,斧,3
完璧归赵,东施效颦,唇亡齿寒,1,1,璧,3
力争上游,功亏宜篑,白雪皑皑,3,3,皑,3
千军万马,博古通今,胸有成竹,1,1,军,3
一举两得,旗开得胜,叶公浩龙,2,3,胜,4
势不可挡,围魏救赵,刻舟求剑,3,1,舟,4
温故知新,对牛弹琴,唇枪舌剑,1,3,新,4
肝胆相照,触类旁通,纸上谈兵,2,0,触,4
十拿九稳,家喻户晓,釜底抽薪,3,1,底,4
繁花似锦,马到成功,半途而废,1,3,锦,4
白头偕老,三顾茅庐,旗开得胜,3,1,开,4
运筹帷幄,力争上游,囫囵吞枣,3,0,囫,4
山崩地裂,千军万马,洛阳纸贵,1,3,裂,4
揭竿而起,运筹帷幄,班门弄斧,2,3,幄,4
排山倒海,三顾茅庐,守口如瓶,2,3,庐,4
废寝忘食,雷霆万钧,风和日丽,1,2,忘,4
国泰民安,一往无前,绿树成荫,2,2,无,4
鸟语花香,盲人摸象,光明磊落,2,3,象,4
目不暇接,十拿九稳,卧薪尝胆,3,3,胆,4
信守不渝,相濡以沫,山崩地裂,2,2,以,4
万子千红,门可罗雀,旗开得胜,2,3,雀,4
博古通今,刻舟求剑,喜出望外,2,3,剑,4
得不偿失,破釜沉舟,学而不厌,2,0,破,4
功亏宜篑,班门弄斧,翻天覆地,1,3,篑,4
家喻户晓,秋高气爽,后生可畏,1,3,晓,4
对牛弹琴,刻舟求剑,舍己为人,1,1,牛,4
守口如瓶,囫囵吞枣,悬梁刺股,1,1,口,4
十拿九稳,举案齐眉,势不可挡,2,2,齐,4
山崩地裂,功亏宜篑,五湖四海,3,1,湖,4
持之以恒,悬梁刺股,一败涂地,3,0,一,4
如释重负,滥竽充数,秋高气爽,1,2,重,4
一诺千金,千再难逢,门可罗雀,1,3,金,4
舍生取义,马到成功,万无一失,1,3,义,4
功亏宜篑,成竹在胸,纸上谈兵,3,1,上,4
仁至义尽,刮目相看,春暖花开,1,1,至,4
三顾茅庐,秋高气爽,大公无私,1,2,茅,4
学而不厌,掩耳盗铃,唇亡齿寒,2,3,铃,4
日出而作,胸有成竹,画龙点睛,2,0,胸,4
声势浩大,一败涂地,舍生取义,3,0,舍,4
滥竽充数,半途而废,三顾茅庐,2,0,半,4
刮目相看,繁花似锦,山崩地裂,3,0,山,4
大公无私,大雪纷飞,目不暇接,3,3,接,4
负荆请罪,完璧归赵,唇枪舌剑,2,3,赵,4
守口如瓶,秋高气爽,囫囵吞枣,1,3,瓶,4
自相矛盾,赤胆忠心,博古通今,3,1,古,4
风起云涌,得不偿失,走马观花,1,1,起,5
卧薪尝胆,洛阳纸贵,光明磊落,3,3,落,5
退避三舍,唇亡齿寒,繁花似锦,3,1,花,5
四面楚歌,大张旗鼓,东施效颦,2,0,大,5
成竹在胸,锐不可当,废寝忘食,3,3,食,5
仁至义尽,山崩地裂,唇枪舌剑,3,1,枪,5
光明磊落,草木皆兵,勇往直前,2,3,兵,5
望梅止渴,风起云涌,气势旁礴,2,2,云,5
势不可挡,繁花似锦,力争上游,3,3,游,5
博古通今,门可罗雀,五湖四海,3,0,五,5
光明磊落,一往无前,鹤立鸡群,2,3,前,5
班门弄斧,凿壁偷光,掩耳盗铃,2,0,凿,5
唇枪舌剑,七步成诗,后生可畏,2,3,诗,5
白头偕老,国泰民安,春暖花开,2,2,民,5
胸有成竹,绿树成荫,万无一失,3,3,失,5
光明正大,对牛弹琴,声势浩大,3,0,声,5
得不偿失,国泰民安,退避三舍,3,0,退,5
绿树成荫,风驰电掣,运筹帷幄,3,1,筹,5
雷厉风行,舍己为人,触类旁通,1,3,行,5
勇往直前,仁至义尽,声势浩大,3,3,大,5
画龙点睛,功亏宜篑,纸上谈兵,3,0,纸,5
闻鸡起舞,五湖四海,欣欣向荣,2,3,海,5
喜出望外,功败垂成,疾如雷霆,3,0,疾,5
一举两得,言而有信,一诺千金,1,1,举,5
笨鸟先飞,走马观花,刮目相看,3,3,看,5
退避三舍,肝胆相照,国泰民安,3,3,安,5
一往无前,忠心耿耿,洛阳纸贵,2,3,耿,5
指鹿围马,刻舟求剑,喜出望外,1,3,马,5
心花怒放,大雪纷飞,自相矛盾,2,3,飞,5
滥竽充数,学而不厌,繁花似锦,2,2,不,5
举案齐眉,班门弄斧,言而有信,2,2,弄,5
风和日丽,日出而作,所向披靡,3,1,向,5
光明正大,一败涂地,秋高气爽,1,1,明,5
学富五车,光明正大,波澜壮阔,3,1,澜,5
程门立雪,守口如瓶,守株待兔,2,0,守,5
半途而废,举案齐眉,山清水秀,3,3,秀,5
指鹿围马,三顾茅庐,大张旗鼓,3,3,鼓,5
风驰电掣,肝胆相照,势不可挡,1,1,驰,5
东施效颦,班门弄斧,运筹帷幄,1,2,效,5
千再难逢,气势旁礴,疾如雷霆,1,3,逢,5
风和日丽,望梅止渴,掩耳盗铃,1,1,和,5
忠心耿耿,光明正大,三顾茅庐,3,0,三,6
日出而作,繁花似锦,如释重负,3,0,如,6
指鹿围马,负荆请罪,大公无私,3,0,大,6
万无一失,日出而作,温故知新,2,2,而,6
日出而作,釜底抽薪,肝胆相照,3,1,胆,6
退避三舍,忠心耿耿,学富五车,3,1,富,6
忠心耿耿,程门立雪,翻天覆地,1,2,耿,6
日出而作,废寝忘食,信守不渝,3,1,守,6
舍生取义,大公无私,滥竽充数,3,0,滥,6
持之以恒,草船借箭,七步成诗,1,1,之,6
翻天覆地,草木皆兵,卧薪尝胆,2,2,皆,6
力争上游,一诺千金,对牛弹琴,3,3,琴,6
五湖四海,秋高气爽,马到成功,3,1,到,6
得不偿失,赤胆忠心,奋发图强,3,3,强,6
鸟语花香,持之以恒,草木皆兵,2,2,以,6
东施效颦,声势浩大,一往无前,3,1,往,6
悬梁刺股,守株待兔,破釜沉舟,1,2,刺,6
排山倒海,负荆请罪,七步成诗,1,2,倒,6
洛阳纸贵,举案齐眉,得不偿失,2,3,眉,6
琴瑟和鸣,掩耳盗铃,鹤立鸡群,3,0,鹤,6
望梅止渴,春暖花开,胸有成竹,1,3,渴,6
青出于蓝,釜底抽薪,家喻户晓,2,0,釜,6
赤胆忠心,门可罗雀,光明磊落,3,1,明,6
青出于蓝,相濡以沫,旗开得胜,1,3,蓝,6
锐不可当,精益求精,背水宜战,3,3,战,6
白头偕老,草船借箭,前功尽弃,3,0,前,6
马到成功,唇亡齿寒,鸟语花香,2,3,寒,6
相濡以沫,七步成诗,五湖四海,2,2,成,6
雷厉风行,后生可畏,所向披靡,2,2,可,6
千再难逢,得不偿失,围魏救赵,2,3,失,6
风驰电掣,功败垂成,守株待兔,2,2,垂,6
喜出望外,精益求精,对牛弹琴,1,3,外,6
舍生取义,唇亡齿寒,青出于蓝,1,2,取,6
班门弄斧,疾如雷霆,悬梁刺股,1,1,门,6
春暖花开,绿树成荫,功亏宜篑,2,0,绿,6
温故知新,才高八斗,奋发图强,2,3,斗,6
前功尽弃,目不暇接,春暖花开,3,1,暖,6
相濡以沫,唇亡齿寒,触类旁通,2,0,唇,6
画蛇添足,马到成功,琴瑟和鸣,2,2,成,6
琴瑟和鸣,力争上游,一诺千金,1,3,鸣,6
胸有成竹,旗开得胜,言而有信,2,0,旗,6
后生可畏,滥竽充数,所向披靡,2,2,充,7
破釜沉舟,守株待兔,功亏宜篑,1,3,舟,7
风和日丽,仁至义尽,一诺千金,1,2,日,7
家喻户晓,指鹿围马,同甘共苦,1,2,户,7
排山倒海,刻舟求剑,秋高气爽,1,1,山,7
纸上谈兵,风起云涌,水滴石穿,1,2,谈,7
刮目相看,繁花似锦,马到成功,1,1,目,7
退避三舍,繁花似锦,釜底抽薪,1,3,舍,7
破釜沉舟,水滴石穿,唇枪舌剑,3,0,唇,7
成竹在胸,一举两得,安居乐业,3,0,安,7
退避三舍,围魏救赵,胸有成竹,1,1,避,7
万子千红,刮目相看,比翼双飞,1,2,千,7
唇枪舌剑,马到成功,持之以恒,1,3,剑,7
声势浩大,如释重负,笨鸟先飞,3,1,鸟,7
纸上谈兵,波澜壮阔,运筹帷幄,2,3,阔,7
春暖花开,功亏宜篑,持之以恒,2,2,宜,7
一败涂地,才高八斗,得不偿失,2,0,才,7
大公无私,安居乐业,惊弓之鸟,3,0,惊,7
喜出望外,功败垂成,围魏救赵,2,0,功,7
十拿九稳,自相矛盾,千再难逢,1,1,拿,7
舍生取义,程门立雪,凿壁偷光,3,3,光,7
背水宜战,忠心耿耿,成竹在胸,3,3,胸,7
守株待兔,赤胆忠心,十拿九稳,3,0,十,7
光明磊落,悬梁刺股,势不可挡,2,0,悬,7
四面楚歌,海誓山盟,触类旁通,3,3,通,7
望梅止渴,舍己为人,叶公浩龙,2,3,人,7
学而不厌,一往无前,波澜壮阔,1,3,厌,7
夜以继日,波澜壮阔,东施效颦,3,3,颦,7
卧薪尝胆,光明正大,掩耳盗铃,2,2,正,7
七步成诗,鹤立鸡群,半途而废,3,3,废,7
排山倒海,笨鸟先飞,白雪皑皑,2,2,先,7
七步成诗,光明磊落,功亏宜篑,3,1,亏,7
翻天覆地,破釜沉舟,仁至义尽,2,2,沉,7
前功尽弃,刮目相看,风和日丽,3,3,丽,7
釜底抽薪,笨鸟先飞,一举两得,1,2,抽,7
程门立雪,盲人摸象,风和日丽,1,3,雪,7
秋高气爽,五湖四海,喜出望外,3,1,出,7
博古通今,温故知新,白头偕老,3,0,白,7
纸上谈兵,鸟语花香,气势旁礴,2,3,香,7
海誓山盟,白头偕老,心花怒放,1,3,盟,7
排山倒海,指鹿围马,舍生取义,2,2,围,7
相濡以沫,笨鸟先飞,门可罗雀,3,0,门,8
青出于蓝,风起云涌,目不暇接,2,0,风,8
舍己为人,比翼双飞,疾如雷霆,2,0,比,8
鸟语花香,疾如雷霆,纸上谈兵,1,1,语,8
卧薪尝胆,欣欣向荣,繁花似锦,2,3,荣,8
天作之合,洛阳纸贵,大雪纷飞,2,0,洛,8
退避三舍,十拿九稳,乐善浩施,1,2,三,8
千再难逢,风起云涌,翻天覆地,2,3,涌,8
风驰电掣,成竹在胸,春暖花开,3,3,开,8
山崩地裂,白头偕老,画蛇添足,1,1,崩,8
触类旁通,水滴石穿,锐不可当,3,0,锐,8
相濡以沫,气势旁礴,破釜沉舟,3,1,釜,8
三顾茅庐,破釜沉舟,程门立雪,3,1,门,8
守株待兔,比翼双飞,白头偕老,2,3,飞,8
洛阳纸贵,忠心耿耿,雷厉风行,1,2,纸,8
天作之合,奋发图强,揭竿而起,1,3,合,8
风驰电掣,比翼双飞,悬梁刺股,1,2,电,8
洛阳纸贵,班门弄斧,万子千红,3,3,红,8
举案齐眉,比翼双飞,刻舟求剑,3,0,刻,8
围魏救赵,水滴石穿,十拿九稳,3,3,稳,8
叶公浩龙,囫囵吞枣,肝胆相照,2,2,吞,8
悬梁刺股,东施效颦,前功尽弃,2,0,东,8
风驰电掣,奋发图强,卧薪尝胆,1,3,掣,8
七步成诗,势不可挡,惊弓之鸟,2,3,挡,8
欣欣向荣,精益求精,温故知新,1,1,欣,8
比翼双飞,卧薪尝胆,万子千红,2,0,卧,8
气势旁礴,白雪皑皑,精益求精,3,0,精,8
盲人摸象,指鹿围马,奋发图强,1,2,摸,8
滥竽充数,草木皆兵,夜以继日,3,3,日,8
琴瑟和鸣,闻鸡起舞,千再难逢,1,2,和,8
滥竽充数,秋高气爽,势不可挡,1,3,数,8
举一反三,琴瑟和鸣,势不可挡,1,2,反,8
海誓山盟,守株待兔,繁花似锦,1,2,山,8
气势旁礴,叶公浩龙,草木皆兵,1,3,礴,8
博古通今,门可罗雀,闻鸡起舞,3,1,鸡,8
叶公浩龙,言而有信,废寝忘食,1,3,龙,8
夜以继日,心花怒放,五湖四海,2,2,怒,8
雷霆万钧,勇往直前,势不可挡,2,2,直,8
得不偿失,白头偕老,舍己为人,3,1,己,8
凿壁偷光,心花怒放,势不可挡,1,2,偷,8
夜以继日,背水宜战,赤胆忠心,3,1,胆,8
雷霆万钧,触类旁通,秋高气爽,3,3,爽,9
才高八斗,学富五车,大雪纷飞,2,3,车,9
声势浩大,草船借箭,排山倒海,2,2,借,9
画蛇添足,举一反三,大公无私,1,2,添,9
仁至义尽,白头偕老,退避三舍,2,2,偕,9
叶公浩龙,指鹿围马,肝胆相照,3,3,照,9
洛阳纸贵,风驰电掣,一败涂地,2,0,风,9
举案齐眉,才高八斗,闻鸡起舞,1,1,案,9
囫囵吞枣,鸟语花香,青出于蓝,1,1,囵,9
四面楚歌,博古通今,凿壁偷光,1,1,面,9
家喻户晓,七步成诗,光明磊落,1,1,喻,9
一往无前,光明磊落,肝胆相照,2,0,光,9
揭竿而起,功败垂成,走马观花,1,3,起,9
光明正大,喜出望外,赤胆忠心,1,3,大,9
囫囵吞枣,喜出望外,四面楚歌,3,0,四,9
舍己为人,废寝忘食,万子千红,3,1,子,9
喜出望外,光明磊落,奋发图强,1,2,望,9
画蛇添足,画龙点睛,走马观花,2,3,睛,9
温故知新,画蛇添足,力争上游,2,3,足,9
大雪纷飞,滥竽充数,学而不厌,3,1,而,9
一举两得,运筹帷幄,守株待兔,3,0,守,9
门可罗雀,青出于蓝,盲人摸象,1,1,可,9
一诺千金,草船借箭,万无一失,2,0,草,9
雷霆万钧,班门弄斧,学而不厌,2,0,班,9
锐不可当,闻鸡起舞,运筹帷幄,3,0,运,9
负荆请罪,青出于蓝,日出而作,2,2,于,9
乐善浩施,家喻户晓,自相矛盾,1,2,浩,9
精益求精,闻鸡起舞,守口如瓶,2,0,闻,9
持之以恒,一败涂地,天作之合,3,0,天,9
所向披靡,翻天覆地,日出而作,1,2,披,9
言而有信,一举两得,相濡以沫,1,1,而,9
揭竿而起,国泰民安,仁至义尽,3,0,仁,9
四面楚歌,大雪纷飞,家喻户晓,1,2,楚,9
雷厉风行,安居乐业,后生可畏,1,1,厉,9
大雪纷飞,刻舟求剑,马到成功,3,3,功,9
才高八斗,学富五车,负荆请罪,1,2,八,9
博古通今,心花怒放,七步成诗,1,2,通,9
大张旗鼓,声势浩大,滥竽充数,1,1,张,9
青出于蓝,前功尽弃,背水宜战,3,0,背,9
负荆请罪,十拿九稳,水滴石穿,1,1,荆,9
海誓山盟,胸有成竹,唇亡齿寒,2,2,成,9
