W1,W2,W3,Cue_Word,Cue_Pos,Cue
举一反三,琴瑟和鸣,势不可挡,1,2,反
触类旁通,一举两得,破釜沉舟,1,2,旁
万子千红,刮目相看,比翼双飞,1,2,千
成竹在胸,持之以恒,唇亡齿寒,1,2,在
程门立雪,如释重负,惊弓之鸟,1,2,立
所向披靡,翻天覆地,日出而作,1,2,披
风和日丽,仁至义尽,一诺千金,1,2,日
博古通今,心花怒放,七步成诗,1,2,通
叶公浩龙,得不偿失,雷厉风行,1,2,浩
风驰电掣,比翼双飞,悬梁刺股,1,2,电
洛阳纸贵,忠心耿耿,雷厉风行,1,2,纸
海誓山盟,守株待兔,繁花似锦,1,2,山
琴瑟和鸣,闻鸡起舞,千再难逢,1,2,和
信守不渝,一诺千金,半途而废,1,2,不
仁至义尽,一败涂地,学富五车,1,2,义
得不偿失,揭竿而起,相濡以沫,1,2,偿
完璧归赵,功败垂成,万子千红,1,2,归
自相矛盾,赤胆忠心,波澜壮阔,1,2,矛
家喻户晓,指鹿围马,同甘共苦,1,2,户
学富五车,半途而废,乐善浩施,1,2,五
东施效颦,班门弄斧,运筹帷幄,1,2,效
釜底抽薪,笨鸟先飞,一举两得,1,2,抽
望梅止渴,春暖花开,胸有成竹,1,3,渴
学而不厌,一往无前,波澜壮阔,1,3,厌
举一反三,前功尽弃,光明正大,1,3,三
千再难逢,气势旁礴,疾如雷霆,1,3,逢
锐不可当,风和日丽,刻舟求剑,1,3,当
白头偕老,五湖四海,万子千红,1,3,老
退避三舍,繁花似锦,釜底抽薪,1,3,舍
千军万马,滥竽充数,成竹在胸,1,3,马
气势旁礴,叶公浩龙,草木皆兵,1,3,礴
天作之合,奋发图强,揭竿而起,1,3,合
山崩地裂,千军万马,洛阳纸贵,1,3,裂
喜出望外,精益求精,对牛弹琴,1,3,外
叶公浩龙,言而有信,废寝忘食,1,3,龙
青出于蓝,相濡以沫,旗开得胜,1,3,蓝
温故知新,对牛弹琴,唇枪舌剑,1,3,新
海誓山盟,白头偕老,心花怒放,1,3,盟
光明正大,喜出望外,赤胆忠心,1,3,大
功亏宜篑,班门弄斧,翻天覆地,1,3,篑
揭竿而起,功败垂成,走马观花,1,3,起
守口如瓶,秋高气爽,囫囵吞枣,1,3,瓶
舍生取义,马到成功,万无一失,1,3,义
破釜沉舟,守株待兔,功亏宜篑,1,3,舟
负荆请罪,功亏宜篑,安居乐业,1,3,罪
家喻户晓,秋高气爽,后生可畏,1,3,晓
釜底抽薪,望梅止渴,草船借箭,1,3,薪
指鹿围马,刻舟求剑,喜出望外,1,3,马
唇枪舌剑,马到成功,持之以恒,1,3,剑
后生可畏,十拿九稳,舍己为人,1,3,畏
排山倒海,成竹在胸,力争上游,1,3,海
胸有成竹,万无一失,心花怒放,1,3,竹
滥竽充数,秋高气爽,势不可挡,1,3,数
一诺千金,千再难逢,门可罗雀,1,3,金
雷霆万钧,琴瑟和鸣,雷厉风行,1,3,钧
风驰电掣,奋发图强,卧薪尝胆,1,3,掣
雷厉风行,舍己为人,触类旁通,1,3,行
言而有信,力争上游,同甘共苦,1,3,信
同甘共苦,大公无私,画蛇添足,1,3,苦
繁花似锦,马到成功,半途而废,1,3,锦
四面楚歌,一往无前,鸟语花香,1,3,歌
琴瑟和鸣,力争上游,一诺千金,1,3,鸣
程门立雪,盲人摸象,风和日丽,1,3,雪
春暖花开,绿树成荫,功亏宜篑,2,0,绿
温故知新,国泰民安,运筹帷幄,2,0,国
一往无前,光明磊落,肝胆相照,2,0,光
光明磊落,悬梁刺股,势不可挡,2,0,悬
悬梁刺股,千再难逢,万子千红,2,0,千
一诺千金,草船借箭,万无一失,2,0,草
班门弄斧,凿壁偷光,掩耳盗铃,2,0,凿
得不偿失,破釜沉舟,学而不厌,2,0,破
闻鸡起舞,春暖花开,草船借箭,2,0,春
一败涂地,才高八斗,得不偿失,2,0,才
肝胆相照,触类旁通,纸上谈兵,2,0,触
程门立雪,守口如瓶,守株待兔,2,0,守
青出于蓝,釜底抽薪,家喻户晓,2,0,釜
精益求精,围魏救赵,疾如雷霆,2,0,围
繁花似锦,勇往直前,笨鸟先飞,2,0,勇
卧薪尝胆,盲人摸象,十拿九稳,2,0,盲
喜出望外,功败垂成,围魏救赵,2,0,功
舍己为人,学富五车,举一反三,2,0,学
悬梁刺股,东施效颦,前功尽弃,2,0,东
滥竽充数,山清水秀,破釜沉舟,2,0,山
完璧归赵,大雪纷飞,鹤立鸡群,2,0,大
四面楚歌,大张旗鼓,东施效颦,2,0,大
舍己为人,比翼双飞,疾如雷霆,2,0,比
舍己为人,翻天覆地,完璧归赵,2,0,翻
乐善浩施,万无一失,纸上谈兵,2,0,万
四面楚歌,完璧归赵,赤胆忠心,2,0,完
雷霆万钧,班门弄斧,学而不厌,2,0,班
天作之合,洛阳纸贵,大雪纷飞,2,0,洛
洛阳纸贵,风驰电掣,一败涂地,2,0,风
水滴石穿,指鹿围马,前功尽弃,2,0,指
日出而作,胸有成竹,画龙点睛,2,0,胸
精益求精,闻鸡起舞,守口如瓶,2,0,闻
囫囵吞枣,繁花似锦,比翼双飞,2,0,繁
揭竿而起,持之以恒,笨鸟先飞,2,0,持
相濡以沫,唇亡齿寒,触类旁通,2,0,唇
滥竽充数,半途而废,三顾茅庐,2,0,半
精益求精,光明正大,胸有成竹,2,0,光
青出于蓝,风起云涌,目不暇接,2,0,风
比翼双飞,卧薪尝胆,万子千红,2,0,卧
一败涂地,水滴石穿,精益求精,2,0,水
胸有成竹,旗开得胜,言而有信,2,0,旗
疾如雷霆,温故知新,乐善浩施,2,2,知
翻天覆地,破釜沉舟,仁至义尽,2,2,沉
相濡以沫,七步成诗,五湖四海,2,2,成
国泰民安,春暖花开,功亏宜篑,2,2,花
后生可畏,滥竽充数,所向披靡,2,2,充
惊弓之鸟,山崩地裂,赤胆忠心,2,2,地
雷霆万钧,勇往直前,势不可挡,2,2,直
夜以继日,心花怒放,五湖四海,2,2,怒
卧薪尝胆,光明正大,掩耳盗铃,2,2,正
信守不渝,相濡以沫,山崩地裂,2,2,以
国泰民安,一往无前,绿树成荫,2,2,无
声势浩大,草船借箭,排山倒海,2,2,借
喜出望外,比翼双飞,万子千红,2,2,双
叶公浩龙,囫囵吞枣,肝胆相照,2,2,吞
仁至义尽,白头偕老,退避三舍,2,2,偕
负荆请罪,青出于蓝,日出而作,2,2,于
画蛇添足,马到成功,琴瑟和鸣,2,2,成
海誓山盟,胸有成竹,唇亡齿寒,2,2,成
春暖花开,功亏宜篑,持之以恒,2,2,宜
翻天覆地,草木皆兵,卧薪尝胆,2,2,皆
走马观花,天作之合,学富五车,2,2,之
学而不厌,繁花似锦,一往无前,2,2,似
四面楚歌,精益求精,纸上谈兵,2,2,求
排山倒海,指鹿围马,舍生取义,2,2,围
万无一失,日出而作,温故知新,2,2,而
持之以恒,翻天覆地,精益求精,2,2,覆
排山倒海,笨鸟先飞,白雪皑皑,2,2,先
胸有成竹,卧薪尝胆,学富五车,2,2,尝
十拿九稳,举案齐眉,势不可挡,2,2,齐
雷厉风行,后生可畏,所向披靡,2,2,可
望梅止渴,刮目相看,画蛇添足,2,2,相
风驰电掣,功败垂成,守株待兔,2,2,垂
所向披靡,锐不可当,刻舟求剑,2,2,可
望梅止渴,风起云涌,气势旁礴,2,2,云
白头偕老,国泰民安,春暖花开,2,2,民
举案齐眉,班门弄斧,言而有信,2,2,弄
鸟语花香,持之以恒,草木皆兵,2,2,以
滥竽充数,学而不厌,繁花似锦,2,2,不
滥竽充数,光明磊落,背水宜战,2,2,磊
夜以继日,绿树成荫,风驰电掣,2,2,成
三顾茅庐,舍己为人,舍生取义,2,2,为
如释重负,持之以恒,唇枪舌剑,2,3,恒
马到成功,唇亡齿寒,鸟语花香,2,3,寒
纸上谈兵,鸟语花香,气势旁礴,2,3,香
光明磊落,草木皆兵,勇往直前,2,3,兵
欣欣向荣,自相矛盾,悬梁刺股,2,3,盾
画蛇添足,画龙点睛,走马观花,2,3,睛
卧薪尝胆,欣欣向荣,繁花似锦,2,3,荣
负荆请罪,完璧归赵,唇枪舌剑,2,3,赵
鸟语花香,盲人摸象,光明磊落,2,3,象
千再难逢,勇往直前,破釜沉舟,2,3,前
一往无前,忠心耿耿,洛阳纸贵,2,3,耿
一举两得,旗开得胜,叶公浩龙,2,3,胜
学富五车,走马观花,仁至义尽,2,3,花
洛阳纸贵,举案齐眉,得不偿失,2,3,眉
温故知新,才高八斗,奋发图强,2,3,斗
学而不厌,掩耳盗铃,唇亡齿寒,2,3,铃
繁花似锦,所向披靡,舍己为人,2,3,靡
唇枪舌剑,七步成诗,后生可畏,2,3,诗
风起云涌,纸上谈兵,心花怒放,2,3,兵
惊弓之鸟,翻天覆地,东施效颦,2,3,地
盲人摸象,悬梁刺股,水滴石穿,2,3,股
举案齐眉,心花怒放,海誓山盟,2,3,放
千再难逢,得不偿失,围魏救赵,2,3,失
千再难逢,风起云涌,翻天覆地,2,3,涌
排山倒海,三顾茅庐,守口如瓶,2,3,庐
七步成诗,势不可挡,惊弓之鸟,2,3,挡
叶公浩龙,如释重负,万子千红,2,3,负
凿壁偷光,乐善浩施,安居乐业,2,3,施
大公无私,班门弄斧,山崩地裂,2,3,斧
光明磊落,一往无前,鹤立鸡群,2,3,前
言而有信,一举两得,负荆请罪,2,3,得
纸上谈兵,波澜壮阔,运筹帷幄,2,3,阔
才高八斗,学富五车,大雪纷飞,2,3,车
望梅止渴,舍己为人,叶公浩龙,2,3,人
博古通今,刻舟求剑,喜出望外,2,3,剑
心花怒放,大雪纷飞,自相矛盾,2,3,飞
温故知新,画蛇添足,力争上游,2,3,足
万子千红,门可罗雀,旗开得胜,2,3,雀
闻鸡起舞,五湖四海,欣欣向荣,2,3,海
揭竿而起,运筹帷幄,班门弄斧,2,3,幄
守株待兔,比翼双飞,白头偕老,2,3,飞
喜出望外,功败垂成,疾如雷霆,3,0,疾
日出而作,繁花似锦,如释重负,3,0,如
青出于蓝,前功尽弃,背水宜战,3,0,背
得不偿失,锐不可当,掩耳盗铃,3,0,掩
琴瑟和鸣,掩耳盗铃,鹤立鸡群,3,0,鹤
一举两得,运筹帷幄,守株待兔,3,0,守
鸟语花香,守口如瓶,海誓山盟,3,0,海
光明正大,对牛弹琴,声势浩大,3,0,声
囫囵吞枣,比翼双飞,风和日丽,3,0,风
舍生取义,大公无私,滥竽充数,3,0,滥
揭竿而起,国泰民安,仁至义尽,3,0,仁
海誓山盟,气势旁礴,同甘共苦,3,0,同
博古通今,温故知新,白头偕老,3,0,白
相濡以沫,笨鸟先飞,门可罗雀,3,0,门
运筹帷幄,力争上游,囫囵吞枣,3,0,囫
博古通今,门可罗雀,五湖四海,3,0,五
持之以恒,悬梁刺股,一败涂地,3,0,一
忠心耿耿,光明正大,三顾茅庐,3,0,三
前功尽弃,唇亡齿寒,雷霆万钧,3,0,雷
声势浩大,一败涂地,舍生取义,3,0,舍
声势浩大,夜以继日,所向披靡,3,0,所
举案齐眉,比翼双飞,刻舟求剑,3,0,刻
春暖花开,围魏救赵,自相矛盾,3,0,自
持之以恒,一败涂地,天作之合,3,0,天
破釜沉舟,水滴石穿,唇枪舌剑,3,0,唇
刮目相看,繁花似锦,山崩地裂,3,0,山
白头偕老,草船借箭,前功尽弃,3,0,前
掩耳盗铃,刮目相看,信守不渝,3,0,信
得不偿失,国泰民安,退避三舍,3,0,退
白雪皑皑,草船借箭,画龙点睛,3,0,画
博古通今,囫囵吞枣,秋高气爽,3,0,秋
守株待兔,赤胆忠心,十拿九稳,3,0,十
触类旁通,水滴石穿,锐不可当,3,0,锐
画龙点睛,功亏宜篑,纸上谈兵,3,0,纸
锐不可当,闻鸡起舞,运筹帷幄,3,0,运
气势旁礴,白雪皑皑,精益求精,3,0,精
囫囵吞枣,喜出望外,四面楚歌,3,0,四
指鹿围马,负荆请罪,大公无私,3,0,大
成竹在胸,一举两得,安居乐业,3,0,安
完璧归赵,国泰民安,舍己为人,3,0,舍
大公无私,安居乐业,惊弓之鸟,3,0,惊
秋高气爽,五湖四海,喜出望外,3,1,出
退避三舍,唇亡齿寒,繁花似锦,3,1,花
前功尽弃,目不暇接,春暖花开,3,1,暖
三顾茅庐,破釜沉舟,程门立雪,3,1,门
日出而作,釜底抽薪,肝胆相照,3,1,胆
半途而废,凿壁偷光,围魏救赵,3,1,魏
锐不可当,风和日丽,力争上游,3,1,争
功亏宜篑,成竹在胸,纸上谈兵,3,1,上
鸟语花香,笨鸟先飞,海誓山盟,3,1,誓
东施效颦,声势浩大,一往无前,3,1,往
五湖四海,秋高气爽,马到成功,3,1,到
守口如瓶,东施效颦,青出于蓝,3,1,出
山崩地裂,功亏宜篑,五湖四海,3,1,湖
日出而作,废寝忘食,信守不渝,3,1,守
舍己为人,废寝忘食,万子千红,3,1,子
翻天覆地,肝胆相照,秋高气爽,3,1,高
后生可畏,凿壁偷光,画龙点睛,3,1,龙
背水宜战,一往无前,白雪皑皑,3,1,雪
退避三舍,忠心耿耿,学富五车,3,1,富
万子千红,学富五车,触类旁通,3,1,类
势不可挡,围魏救赵,刻舟求剑,3,1,舟
相濡以沫,气势旁礴,破釜沉舟,3,1,釜
学富五车,光明正大,波澜壮阔,3,1,澜
十拿九稳,家喻户晓,釜底抽薪,3,1,底
十拿九稳,光明正大,惊弓之鸟,3,1,弓
唇亡齿寒,一往无前,得不偿失,3,1,不
夜以继日,背水宜战,赤胆忠心,3,1,胆
笨鸟先飞,风起云涌,夜以继日,3,1,以
大雪纷飞,滥竽充数,学而不厌,3,1,而
仁至义尽,山崩地裂,唇枪舌剑,3,1,枪
白头偕老,三顾茅庐,旗开得胜,3,1,开
博古通今,门可罗雀,闻鸡起舞,3,1,鸡
言而有信,悬梁刺股,相濡以沫,3,1,濡
自相矛盾,赤胆忠心,博古通今,3,1,古
得不偿失,白头偕老,舍己为人,3,1,己
七步成诗,光明磊落,功亏宜篑,3,1,亏
声势浩大,如释重负,笨鸟先飞,3,1,鸟
掩耳盗铃,七步成诗,心花怒放,3,1,花
风和日丽,日出而作,所向披靡,3,1,向
赤胆忠心,门可罗雀,光明磊落,3,1,明
绿树成荫,风驰电掣,运筹帷幄,3,1,筹
勇往直前,仁至义尽,声势浩大,3,3,大
围魏救赵,惊弓之鸟,大公无私,3,3,私
釜底抽薪,乐善浩施,前功尽弃,3,3,弃
后生可畏,惊弓之鸟,围魏救赵,3,3,赵
胸有成竹,鸟语花香,水滴石穿,3,3,穿
围魏救赵,水滴石穿,十拿九稳,3,3,稳
力争上游,功亏宜篑,白雪皑皑,3,3,皑
持之以恒,叶公浩龙,洛阳纸贵,3,3,贵
洛阳纸贵,班门弄斧,万子千红,3,3,红
势不可挡,繁花似锦,力争上游,3,3,游
疾如雷霆,卧薪尝胆,一败涂地,3,3,地
白雪皑皑,滥竽充数,日出而作,3,3,作
七步成诗,鹤立鸡群,半途而废,3,3,废
大公无私,大雪纷飞,目不暇接,3,3,接
背水宜战,忠心耿耿,成竹在胸,3,3,胸
胸有成竹,绿树成荫,万无一失,3,3,失
白雪皑皑,喜出望外,安居乐业,3,3,业
退避三舍,肝胆相照,国泰民安,3,3,安
前功尽弃,刮目相看,风和日丽,3,3,丽
卧薪尝胆,洛阳纸贵,光明磊落,3,3,落
目不暇接,十拿九稳,卧薪尝胆,3,3,胆
四面楚歌,海誓山盟,触类旁通,3,3,通
夜以继日,波澜壮阔,东施效颦,3,3,颦
成竹在胸,锐不可当,废寝忘食,3,3,食
得不偿失,赤胆忠心,奋发图强,3,3,强
翻天覆地,欣欣向荣,囫囵吞枣,3,3,枣
半途而废,举案齐眉,山清水秀,3,3,秀
大公无私,后生可畏,笨鸟先飞,3,3,飞
指鹿围马,三顾茅庐,大张旗鼓,3,3,鼓
半途而废,锐不可当,相濡以沫,3,3,沫
雷霆万钧,触类旁通,秋高气爽,3,3,爽
力争上游,一诺千金,对牛弹琴,3,3,琴
功败垂成,门可罗雀,鹤立鸡群,3,3,群
笨鸟先飞,走马观花,刮目相看,3,3,看
叶公浩龙,指鹿围马,肝胆相照,3,3,照
大雪纷飞,刻舟求剑,马到成功,3,3,功
舍生取义,程门立雪,凿壁偷光,3,3,光
锐不可当,精益求精,背水宜战,3,3,战
风驰电掣,成竹在胸,春暖花开,3,3,开
破釜沉舟,卧薪尝胆,博古通今,3,3,今
滥竽充数,草木皆兵,夜以继日,3,3,日
