W1,W2,W3,W4,Cue_Word,Cue_Pos,Cue,block
工艺品,生产线,畜牧业,煤气灶,4,0,煤,4
会议室,检察官,俱乐部,收音机,3,0,俱,4
神经元,责任感,灵敏度,铁矿石,2,2,感,4
青哨年,收音机,广播剧,障碍物,4,2,物,4
实验室,防火墙,录取线,打字员,4,2,员,4
科学家,补习班,检察官,创造力,2,0,补,4
防火墙,葡萄糖,纪念碑,录音机,3,0,纪,4
感染源,图书馆,呼吸道,联合国,2,0,图,4
奴隶制,障碍物,图书馆,婚姻法,3,1,书,4
科学家,手榴弹,化妆品,发动机,1,2,家,4
锦标赛,天花板,保险箱,会议室,2,2,板,4
望远镜,单细胞,收银台,马铃薯,4,2,薯,4
交通灯,救护车,交响悦,发动机,3,0,交,4
国务院,冷空气,新闻稿,广播站,2,0,冷,4
运输车,公安局,理工科,手榴弹,2,0,公,4
变压器,主人翁,自来水,会议室,2,0,主,4
收银台,参考书,儿童节,计算题,4,2,题,4
重要性,技术员,方程式,研究生,2,0,技,4
发动机,电冰箱,救护车,穿山甲,4,2,甲,4
设计图,介绍信,化妆品,收音机,1,1,计,4
出租车,紫外线,国务院,建筑师,3,1,务,4
建设部,毕业证,铁矿石,运输车,1,2,部,4
交响悦,呼吸道,接待室,西红柿,4,0,西,4
同位素,保温杯,创造力,天花板,4,1,花,5
绘画展,金黄色,幼儿园,传叫士,3,0,幼,5
婚姻法,菜市场,感染源,教师节,4,1,师,5
蒸馏水,党中央,核电站,写字台,1,1,馏,5
设计图,计算题,化妆品,银河系,4,0,银,5
运输车,方程式,催化剂,反动派,4,1,动,5
设计图,留学生,副作用,交通灯,3,1,作,5
自来水,社会学,天花板,紫外线,4,0,紫,5
救护车,太阳能,宇航员,单细胞,4,0,单,5
绘画展,联合国,内分泌,研究生,4,0,研,5
工艺品,毕业证,护理员,猫头鹰,2,0,毕,5
签名册,补习班,留学生,风向标,4,2,标,5
玻璃杯,马铃薯,鼓风机,氨基酸,1,1,璃,5
实验室,奴隶制,补习班,高血压,4,0,高,5
催化剂,广播剧,计算题,动物园,4,1,物,5
防火墙,介绍信,护理员,单细胞,3,0,护,5
变压器,玻璃杯,感染源,重要性,3,0,感,5
笔记本,交响悦,同位素,魔术师,4,0,魔,5
动物园,核电站,畜牧业,合唱团,4,2,团,5
氨基酸,太阳能,紫外线,反动派,2,2,能,5
民主党,传感器,进行曲,消费者,3,1,行,5
视网膜,免疫力,耗奇心,建设部,4,1,设,5
灵敏度,畜牧业,爆破队,化妆品,2,2,业,5
价值观,葡萄糖,生产线,艺术品,1,2,观,5
感染源,内分泌,人行道,幼儿园,4,2,园,5
创造力,检察官,写字台,毕业证,4,2,证,5
交通灯,荧光屏,葡萄糖,抗生素,1,2,灯,5
技术员,免税店,菜市场,艺术品,3,1,市,5
保险箱,高利贷,纪念碑,参谋掌,1,1,险,5
普通话,艺术品,天花板,超声波,4,1,声,5
储蓄卡,收银台,教师节,穿山甲,1,2,卡,5
收银台,冷空气,玻璃杯,相对论,1,2,台,5
菜市场,打字员,营业员,出租车,3,0,营,5
防火墙,接待室,穿山甲,合唱团,2,0,接,5
电动车,国务院,荧光屏,魔术师,1,2,车,5
党中央,旅游团,宇航员,荧光屏,4,2,屏,5
感染源,保温杯,参谋掌,放大镜,4,2,镜,5
公安局,淋巴结,呼吸道,神经元,3,0,呼,5
传感器,排球赛,招待所,签名册,4,1,名,5
科学家,建筑师,毕业证,收音机,3,1,业,5
联合国,新闻稿,传感器,自然界,2,0,新,5
冷空气,太阳能,责任感,国务院,4,2,院,6
建筑师,普通话,核电站,氨基酸,4,2,酸,6
煤气灶,办事处,检察官,黑板报,2,0,办,6
防火墙,参考书,录音机,理工科,1,2,墙,6
障碍物,合唱团,公安局,录音机,4,0,录,6
金黄色,出租车,联合国,救护车,1,2,色,6
视网膜,耗奇心,保温杯,党中央,3,0,保,6
耗奇心,病原体,参考书,检察官,3,1,考,6
煤气灶,方程式,菜市场,传叫士,4,0,传,6
障碍物,广播剧,交通灯,检察官,4,1,察,6
病原体,工艺品,障碍物,冷空气,2,0,工,6
建设部,实验室,高血压,自来水,4,0,自,6
爆破队,储蓄卡,煤气灶,出版社,1,2,队,6
录音机,马铃薯,单细胞,护理员,3,1,细,6
风向标,生产线,发动机,相对论,4,2,论,6
连锁店,生产线,收音机,计算题,3,0,收,6
畜牧业,保温杯,护理员,紫外线,1,1,牧,6
核电站,创造力,摄影师,技术员,2,2,力,6
变压器,内分泌,计算题,研究生,4,1,究,6
紫外线,超声波,消费者,绘画展,4,0,绘,6
招待所,广告牌,传叫士,科学家,2,2,牌,6
出版社,录音机,菜市场,高利贷,4,0,高,6
超声波,收音机,实验室,科学馆,1,2,波,6
传感器,玻璃杯,出版社,放大镜,1,2,器,6
联合国,奴隶制,猫头鹰,责任感,1,1,合,6
西红柿,副作用,建设部,录音机,3,0,建,6
葡萄糖,建设部,绘画展,直辖市,1,2,糖,6
免疫力,计算题,技术员,奴隶制,4,0,奴,6
俱乐部,交响悦,建筑师,发动机,1,2,部,6
主人翁,紫外线,保温杯,同位素,1,1,人,6
公安局,化妆品,工艺品,超声波,1,2,局,6
风向标,电动车,西红柿,出版社,1,1,向,6
民主党,责任感,练习册,留学生,3,0,练,6
障碍物,研究生,耗奇心,人行道,4,0,人,6
青哨年,航天员,人行道,签名册,2,0,航,6
动物园,民主党,责任感,建筑师,3,1,任,6
面包机,宇航员,进行曲,排球赛,1,1,包,6
护理员,广播站,免疫力,技术员,2,2,站,6
锦标赛,储蓄卡,技术员,进行曲,3,1,术,6
男籽汉,变压器,交响悦,锦标赛,4,2,赛,6
多边形,摄影师,党中央,灵敏度,2,0,摄,6
重要性,出租车,化妆品,视网膜,3,1,妆,7
电动车,摄影师,风向标,航天员,4,2,员,7
内分泌,航天员,写字台,旅游团,3,1,字,7
氨基酸,灵敏度,接待室,视网膜,3,1,待,7
办事处,设计图,儿童节,婚姻法,4,0,婚,7
火车票,销售额,责任感,农业社,2,0,销,7
出租车,望远镜,副作用,合唱团,3,0,副,7
化妆品,广告牌,民主党,儿童节,3,1,主,7
检察官,抗生素,放大镜,锦标赛,3,1,大,7
营业员,录取线,暴风雨,玻璃杯,4,2,杯,7
面包机,催化剂,创造力,科学家,4,0,科,7
营业员,放大镜,高利贷,保温杯,1,2,员,7
研究生,自来水,灵敏度,普通话,3,1,敏,7
猫头鹰,录音机,介绍信,广播站,1,1,头,7
俱乐部,练习册,高血压,毕业证,3,1,血,7
发动机,高血压,直辖市,救护车,1,2,机,7
暴风雨,青哨年,菜市场,紫外线,3,0,菜,7
消费者,写字台,玻璃杯,儿童节,4,0,儿,7
畜牧业,保温杯,参考书,化妆品,2,2,杯,7
反动派,免税店,荧光屏,自然界,4,0,自,7
抗生素,介绍信,电冰箱,建设部,2,0,介,7
排球赛,畜牧业,代表团,黑板报,3,1,表,7
紫外线,猫头鹰,艺术品,设计图,3,0,艺,7
加工厂,风向标,排球赛,同位素,3,0,排,7
广告牌,冷空气,公安局,科学馆,2,2,气,7
面包机,传感器,核电站,副作用,1,2,机,7
俱乐部,太阳能,价值观,方程式,1,1,乐,7
银河系,自然界,招待所,合唱团,1,2,系,7
联合国,参考书,反动派,煤气灶,2,2,书,7
科学馆,氨基酸,自然界,内分泌,3,1,然,7
出租车,银河系,核电站,葡萄糖,3,0,核,7
农业社,气象站,收音机,广告牌,1,1,业,7
介绍信,发动机,笔记本,摄影师,4,2,师,7
青哨年,穿山甲,联合国,加工厂,4,0,加,7
海平面,新闻稿,紫外线,视网膜,4,0,视,7
防火墙,海平面,创造力,航天员,1,1,火,7
科学家,营业员,感染源,方程式,4,1,程,7
猫头鹰,排球赛,储蓄卡,艺术品,4,1,术,7
反动派,风向标,毕业证,图书馆,4,2,馆,7
绘画展,营业员,蒸馏水,广播剧,4,1,播,7
火车票,西红柿,科学家,男籽汉,4,2,汉,7
加工厂,工艺品,纪念碑,爆破队,3,1,念,8
科学馆,消费者,航天员,保险箱,4,0,保,8
连锁店,紫外线,运输车,民主党,3,1,输,8
工艺品,俱乐部,介绍信,爆破队,4,0,爆,8
灵敏度,方程式,副作用,传感器,2,0,方,8
练习册,建筑师,单细胞,社会学,2,0,建,8
手榴弹,动物园,紫外线,煤气灶,3,1,外,8
广播剧,病原体,新闻稿,穿山甲,3,1,闻,8
望远镜,风向标,广告牌,摄影师,2,0,风,8
会议室,救护车,办事处,传感器,1,1,议,8
乒乓球,建设部,免税店,社会学,1,2,球,8
黑板报,防火墙,交通灯,传叫士,2,0,防,8
普通话,风向标,自来水,发动机,4,0,发,8
黑板报,紫外线,民主党,进行曲,2,2,线,8
护理员,录音机,神经元,灵敏度,1,1,理,8
反动派,收音机,保温杯,摄影师,4,1,影,8
补习班,设计图,办事处,高利贷,2,0,设,8
传叫士,西红柿,病原体,穿山甲,2,2,柿,8
猫头鹰,男籽汉,科学馆,建筑师,4,1,筑,8
抗生素,补习班,变压器,黑板报,3,1,压,8
放映厅,玻璃杯,参谋掌,创造力,1,2,厅,8
男籽汉,设计图,猫头鹰,保险箱,1,1,籽,8
传叫士,生产线,打字员,连锁店,3,1,字,8
放映厅,参考书,同位素,招待所,4,1,待,8
传叫士,魔术师,录取线,儿童节,3,1,取,8
望远镜,催化剂,排球赛,计算题,4,1,算,8
手榴弹,参考书,爆破队,旅游团,4,2,团,8
纪念碑,储蓄卡,暴风雨,补习班,4,1,习,8
进行曲,农业社,煤气灶,补习班,4,2,班,8
方程式,进行曲,社会学,录音机,2,2,曲,8
煤气灶,公安局,婚姻法,进行曲,3,1,姻,8
联合国,交响悦,创造力,民主党,3,0,创,8
冷空气,技术员,写字台,副作用,1,1,空,8
抗生素,自然界,病原体,排球赛,3,0,病,8
内分泌,营业员,纪念碑,马铃薯,1,2,泌,8
超声波,宇航员,科学馆,出版社,4,1,版,8
护理员,纪念碑,免疫力,相对论,3,1,疫,8
练习册,同位素,写字台,创造力,4,1,造,8
责任感,保温杯,天花板,青哨年,4,2,年,8
荧光屏,纪念碑,理工科,电动车,3,0,理,8
障碍物,超声波,手榴弹,发动机,1,1,碍,8
广播剧,社会学,毕业证,志愿军,4,2,军,9
招待所,补习班,社会学,相对论,1,2,所,9
金黄色,录取线,合唱团,党中央,4,1,中,9
淋巴结,呼吸道,传感器,研究生,4,2,生,9
接待室,联合国,广播站,火车票,4,0,火,9
检察官,招待所,出版社,签名册,4,0,签,9
责任感,打字员,放映厅,国务院,2,0,打,9
电冰箱,淋巴结,黑板报,介绍信,3,1,板,9
内分泌,电冰箱,社会学,打字员,2,2,箱,9
补习班,设计图,救护车,望远镜,3,0,救,9
高血压,交响悦,金黄色,畜牧业,3,0,金,9
免税店,化妆品,收音机,婚姻法,2,2,品,9
救护车,广播站,黑板报,录取线,1,2,车,9
志愿军,穿山甲,锦标赛,菜市场,4,2,场,9
重要性,运输车,科学馆,销售额,1,1,要,9
出版社,建设部,参考书,葡萄糖,3,0,参,9
氨基酸,发动机,电动车,建筑师,3,0,电,9
男籽汉,教师节,鼓风机,传叫士,4,1,叫,9
直辖市,办事处,计算题,猫头鹰,1,1,辖,9
传感器,男籽汉,婚姻法,交响悦,4,1,响,9
荧光屏,免税店,出版社,救护车,2,2,店,9
理工科,神经元,练习册,障碍物,1,1,工,9
锦标赛,主人翁,自来水,科学家,1,1,标,9
鼓风机,蒸馏水,储蓄卡,国务院,2,0,蒸,9
留学生,传叫士,加工厂,葡萄糖,2,2,士,9
生产线,天花板,参考书,幼儿园,1,2,线,9
合唱团,蒸馏水,绘画展,儿童节,1,1,唱,9
图书馆,理工科,风向标,爆破队,2,2,科,9
催化剂,宇航员,菜市场,理工科,2,2,员,9
鼓风机,冷空气,航天员,传叫士,1,2,机,9
核电站,合唱团,望远镜,单细胞,3,1,远,9
绘画展,交通灯,耗奇心,免税店,4,1,税,9
广播站,护理员,乘务员,生产线,3,0,乘,9
玻璃杯,国务院,联合国,理工科,2,0,国,9
青哨年,录音机,直辖市,呼吸道,3,0,直,9
教师节,录音机,面包机,婚姻法,3,0,面,9
耗奇心,银河系,太阳能,免税店,1,1,奇,9
检察官,补习班,交通灯,魔术师,3,0,交,9
计算题,放大镜,人行道,实验室,4,1,验,9
猫头鹰,淋巴结,消费者,同位素,2,0,淋,9
毕业证,手榴弹,接待室,催化剂,2,2,弹,9
